央视频道,#genre#
浙江卫视,http://223.110.254.137:6610/cntv/live1/HD-2500k-1080P-zhejiangstv/HD-2500k-1080P-zhejiangstv
深圳卫视,http://223.110.254.137:6610/cntv/live1/HD-2500k-1080P-shenzhenstv/HD-2500k-1080P-shenzhenstv
天津卫视,http://223.110.254.137:6610/cntv/live1/HD-2500k-1080P-tianjinstv/HD-2500k-1080P-tianjinstv
湖南卫视,http://223.110.254.137:6610/cntv/live1/HD-2500k-1080P-hunanstv/HD-2500k-1080P-hunanstv
湖北卫视,http://223.110.254.137:6610/cntv/live1/HD-2500k-1080P-hubeistv/HD-2500k-1080P-hubeistv
安徽卫视,http://223.110.254.137:6610/gitv/live1/G_ANHUI-CQ/G_ANHUI-CQ
广东卫视,http://223.110.254.137:6610/cntv/live1/HD-2500k-1080P-guangdongstv/HD-2500k-1080P-guangdongstv
山东卫视,http://223.110.254.137:6610/cntv/live1/HD-2500k-1080P-shandongstv/HD-2500k-1080P-shandongstv
黑龙江卫视,http://223.110.254.137:6610/cntv/live1/HD-2500k-1080P-heilongjiangstv/HD-2500k-1080P-heilongjiangstv
辽宁卫视,http://223.110.254.137:6610/gitv/live1/G_LIAONING-CQ/G_LIAONING-CQ
江西卫视,http://223.110.254.137:6610/cntv/live1/jiangxistv/jiangxistv
深圳卫视,http://223.110.241.139:6610/gitv/live1/G_SHENZHEN-HQ/G_SHENZHEN-HQ/
黑龙江卫视,http://223.110.241.139:6610/gitv/live1/G_HEILONGJIANG-HQ/G_HEILONGJIANG-HQ/
兵团卫视,http://223.110.241.139:6610/gitv/live1/G_BINGTUAN/G_BINGTUAN/
陕西卫视,http://223.110.241.139:6610/gitv/live1/G_SHANXI/G_SHANXI/
大亚湾卫视,http://223.110.241.139:6610/gitv/live1/G_NANFANG/G_NANFANG/
厦门卫视,http://223.110.241.139:6610/gitv/live1/G_XIAMEN/G_XIAMEN/
延边卫视,http://223.110.241.139:6610/gitv/live1/G_YANBIAN/G_YANBIAN/
